dataset,algorithm,n,avg_microseconds,avg_char_comparisons,sorted
random,quick_sort,100,5.91,734.00,true
random,merge_sort,100,3.28,597.00,true
random,ternary_string_quick_sort,100,2.44,704.00,true
random,string_merge_sort_lcp,100,68.16,537.00,true
random,msd_radix_sort,100,9.86,344.00,true
random,msd_radix_sort_with_cutoff,100,1.19,248.00,true
random,quick_sort,200,10.89,1836.00,true
random,merge_sort,200,6.37,1495.00,true
random,ternary_string_quick_sort,200,4.96,1526.00,true
random,string_merge_sort_lcp,200,137.06,1205.00,true
random,msd_radix_sort,200,19.37,796.00,true
random,msd_radix_sort_with_cutoff,200,2.86,607.00,true
random,quick_sort,300,18.34,3172.00,true
random,merge_sort,300,11.95,2527.00,true
random,ternary_string_quick_sort,300,8.28,2450.00,true
random,string_merge_sort_lcp,300,218.80,1930.00,true
random,msd_radix_sort,300,25.37,1232.00,true
random,msd_radix_sort_with_cutoff,300,4.14,1009.00,true
random,quick_sort,400,24.07,4532.00,true
random,merge_sort,400,15.10,3621.00,true
random,ternary_string_quick_sort,400,10.86,3293.00,true
random,string_merge_sort_lcp,400,299.75,2695.00,true
random,msd_radix_sort,400,27.74,1656.00,true
random,msd_radix_sort_with_cutoff,400,5.59,1466.00,true
random,quick_sort,500,30.42,5429.00,true
random,merge_sort,500,22.12,4829.00,true
random,ternary_string_quick_sort,500,13.61,4448.00,true
random,string_merge_sort_lcp,500,379.48,3517.00,true
random,msd_radix_sort,500,30.57,2082.00,true
random,msd_radix_sort_with_cutoff,500,7.02,1928.00,true
random,quick_sort,600,38.36,7032.00,true
random,merge_sort,600,26.42,6092.00,true
random,ternary_string_quick_sort,600,18.04,5721.00,true
random,string_merge_sort_lcp,600,468.38,4352.00,true
random,msd_radix_sort,600,33.61,2516.00,true
random,msd_radix_sort_with_cutoff,600,8.99,2490.00,true
random,quick_sort,700,47.77,8883.00,true
random,merge_sort,700,33.32,7397.00,true
random,ternary_string_quick_sort,700,21.60,6558.00,true
random,string_merge_sort_lcp,700,551.48,5202.00,true
random,msd_radix_sort,700,37.69,2960.00,true
random,msd_radix_sort_with_cutoff,700,10.86,3019.00,true
random,quick_sort,800,60.23,10757.00,true
random,merge_sort,800,41.40,8744.00,true
random,ternary_string_quick_sort,800,24.37,7493.00,true
random,string_merge_sort_lcp,800,643.28,6080.00,true
random,msd_radix_sort,800,45.78,3432.00,true
random,msd_radix_sort_with_cutoff,800,13.13,3623.00,true
random,quick_sort,900,64.63,12451.00,true
random,merge_sort,900,45.74,10169.00,true
random,ternary_string_quick_sort,900,29.04,8546.00,true
random,string_merge_sort_lcp,900,736.83,7015.00,true
random,msd_radix_sort,900,49.56,3900.00,true
random,msd_radix_sort_with_cutoff,900,15.72,4228.00,true
random,quick_sort,1000,73.17,14062.00,true
random,merge_sort,1000,52.71,11567.00,true
random,ternary_string_quick_sort,1000,33.11,9098.00,true
random,string_merge_sort_lcp,1000,809.87,7892.00,true
random,msd_radix_sort,1000,57.43,4392.00,true
random,msd_radix_sort_with_cutoff,1000,17.82,4878.00,true
random,quick_sort,1100,84.11,15090.00,true
random,merge_sort,1100,61.68,13055.00,true
random,ternary_string_quick_sort,1100,38.97,10363.00,true
random,string_merge_sort_lcp,1100,927.30,8848.00,true
random,msd_radix_sort,1100,63.85,4860.00,true
random,msd_radix_sort_with_cutoff,1100,20.17,5622.00,true
